Feature,Importance
engagement_rate,0.33098568754423874
favorite_rate,0.2608608084893438
game_age,0.19508630872567245
Genre_Simulation,0.059553399209090904
AgeRecommendation_All Ages,0.02616250411809979
AgeRecommendation_Ages 9+,0.022334607943945393
Genre_Roleplay & Avatar Sim,0.014970301868120093
Genre_Obby & Platformer,0.01294408640206536
Genre_Party & Casual,0.011160611829141775
Genre_RPG,0.010176928462976504
Genre_Action,0.00904974491809291
Genre_Survival,0.008157225366449609
Genre_Adventure,0.006608030300664145
Genre_Sports & Racing,0.006417388974982086
AgeRecommendation_Ages 13+,0.006343489171260033
Genre_Entertainment,0.005942125941170409
Genre_Strategy,0.004491421927031682
Genre_Shooter,0.003645992035105907
Genre_Social,0.0035212608028979513
Genre_Shopping,0.0008065443899912089
Genre_Puzzle,0.0005265794444282952
AgeRecommendation_Ages 17+,0.0001745714629532525
Genre_Education,8.038067227770456e-05
